users,topic,text,times,quote
 Гостья ,Travel,"Здравствуйте,планируем в начале мая посетить ваш замечательный город на 2-3 дня в качестве туристов.Вопрос вот в чем,гугл статьи и разные фото по хэштегу ""май"" выдают страшилки,что ехать надо к вам чуть ли не в пальто,а градусам не верить ибо ощущение у них другие.На фото кто в шапках,кто в футболках. #путешествия"," Сегодня, 01:55 ",
 Гость ,Travel,"Возьмите куртку на тонком синтепоне, какой нибудь джемпер с длинным рукавом из х/б и футболку. На ноги кроссовки, и по погоде и долго ходить удобно. Джинсы. Какой то легкий шарф на шею и тонкую, нежаркую шапочку на всякий случай. Зонт."," Сегодня, 07:10 ",
 🐞 ,Travel,"Сегодня в футболках даже экстремалы не ходят. Холодно, прошел дождик.Погода очень переменчивая. Так что если ветровки тонкие, то термобелье подденьте, я так и делаю)."," Сегодня, 07:20 ",
 Монти ,Travel,"Верно, у нас по погоде так и есть, температура типа +10С, ощущается, как +1. Так что учитывайте второе значение, его указывают сейчас многие сайты. Шарф и зонт - наши спутники, их лучше иметь под рукой, либо свитер с горлом и куртку с капюшоном влагоотталкивающую. Учитывайте также, что влажность с непривычки может вызывать озноб и першение в горле."," Сегодня, 08:47 ",
 Гость ,Travel,"Добрый день! Сегодня 16, завтра 9, потом 5-6 днем и -1 ночью, потеление будет только с понедельника 8 мая) Ну и часто задувает тех, кто не привык. Кофта тонкая типа спортивная с капюшоном, шарф, кожаная куртка - почти круглый год отличная одежда для Петербурга)))"," Сегодня, 11:01 ",
 Автор ,Travel,"Нужна квартира посуточно в Питере с 18 по 25 мая. Подскажите, где лучше снять. Васильевский нужен или Центр?Кто отдыхал в Питере, посоветуйте где нормально можно пожить за 1500-1800 сутки"," Вчера, 07:05 ",
 Гога (Хоха) ,Travel,"нет таких цен. хотяя если ты таджикоузбек, найдешь я думаю по себе"," Вчера, 07:15 ",
 Папапарам ,Travel,"Ну к этой сумме прибавить еще 1500-2000,то можно. А таких цен нет даже в регионах, не то что в Питере. Если только хостел"," Вчера, 07:34 ",
 🍎 🆂🆃.🅴🅻🅴🅽🅰 ,Travel,"Васильевский тоже центр.Но вам правильно написала, желаемых вами цен нет даже на окраинах провинциальных городов."," Вчера, 07:52 ",
 Ху Ли ,Travel,"Таких цен не будет, тем более в период белых ночей. В этот период посуточные цены взлетают и даже за эту стоимость не найдете жилья. Бронируют всегда заранее, не не за ту сумму, которую вы указали, вы бы хоть погуглили, прежде чем тему создавать. Не смешите."," Вчера, 07:58 ",
 Гость ,Travel,"За такие деньги, вероятно, только хостел.10 лет назад, когда мы зарабатывали меньше, останавливались в хостеле Друзья в доме слева от Казанского собора, в отдельном номере, разумеется.Но душ был только на этаже: никаких проблем с его принятием не было, т.к. душевых было штук 8.Из нетипичных для отелей плюсов, там были - стиральные машинки в помещении с душевыми (разумеется, нужно купить дезинфицирующие таблетки/жидкость (тот же Мультилез Тефлекс) и перед стиркой своих вещей, сначала прогнать эту машинку на коротком цикле с этими таблетками);- полноценная кухня (мы ели в кафе всегда, готовить ничего не готовили, но вечером пили в номере чай/кофе с тортиками);- на ресепшене можно бесплатно взять зонтик, если Вам понадобился (вернув потом, разумеется)/велосипед на прокат;- большинство постояльцев молодые и общительные, мы сейчас до сих пор общаемся с двумя парами, которыми познакомились тогда."," Вчера, 08:03 ",
 Луиза ,Travel,"Купила такой как нужно ,по начинке .. но тяжёлый ((домашний ..А мне нужно ездить по работе..что я наделала(((Просто из лёгких или яблоко - что для трединга не подойдёт..,не брала принципиально..,или хеювейй ,который ""напугали"",что если сломается ,то починить в России больше нельзя,эта компания уехала .. но блиин ,починили бы за границей.. и лучше бы его взяла ,лёгкий и дешевле ..В итоге у меня 5кг ноут (может приувеличиваю ,но тяделый)..,рюкзак для него ..и мне кажется, в аэропорту будут все ржать ,что явно дура...Или выдержать одну поездку (месяц ) и раз в неделю переезд . И потом купить новый ?бред (((Но мне он нужен тоже (((Я на парах ,на след день после покупки вернулась,поменять его ,меня уговорили опять ,мол не гони,он лучше.. не нагревается,игровой ..,а хвей г ...Что делать ? Боюсь ещё сорвать спину ..пол часа езды с ним в рюкзаке или неся рюкзак в руке,прям сильно тяжело!!! Мне кажется я позорище и колхоз ....."," Вчера, 01:55 ",
 Захария ,Travel,я не поняла проблемыон тяжелый для чего?на себе таскать?вы пешком с ним много ходить собрались?вас с этим ноутом постоянно в течение дня надо перемещаться своим ходом?," Вчера, 07:09 ",
 Гость ,Travel,"Кроме хуавея и вашего ничего не было в магазине? Asus например, весит до 2 кг"," Вчера, 07:23 ",
 Жужа ,Travel,Подожмитесь и купите второй для поездок," Вчера, 07:32 ",
 Золотая Рыбка ,Travel,"Автор, полчаса на чём вы едите с рюкзаком за спиной на чём? На велосипеде? Каждый день такая поездка нужна?А в аэропорту что ржать-то будут? Тоже непонятно.Автор, немного сумбурный текст. Объясните поподробнее сколько ехать, как часто и на чём ехать."," Вчера, 08:25 ",
 Луиза ,Travel,Поездка месяц .На самолете с пересадкой ..И раз в неделю ехать на поезде в др город .," Вчера, 15:18 ","Автор, полчаса на чём вы едите с рюкзаком за спиной на чём? На велосипеде? Каждый день такая поездка нужна?А в аэропорту что ржать-то будут? Тоже непонятно.Автор, немного сумбурный текст. Объясните поподробнее сколько ехать, как часто и на чём ехать."
