Title,Description,Category,Top,URL,Label
who can some up each starsign with one positive one negative typical stereotype?,i.e gemini ;positive- adaptable ;negative- cunning,Horoscopes,Entertainment & Music,http://answers.yahoo.com/question/index?qid=20090929041342AAZFhAp,1
Are Bulldogs supporters going to  celebrate Barry Hall's move with  a glass of punch?, ,Australian Rules,Sports,http://answers.yahoo.com/question/index?qid=20091005163805AAvST9b,1
"Ladies, what strain or type of bud do you like to smoke the most?","Ladies, what type of strain or bud do you like to smoke the most? ;If I were to bust out a huge sac of superdank, (ie: train wreck, super grape ape, super lemon haze) what strain or type would attract you the most, or would you want to smoke more than other types. ;Don't lie and say that it dosn't attract you. If you smoke it, it does. If you're going to preach, don't answer.",Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20091007202920AAbnhyc,1
How long does it take for an nds rom to upload onto the internet?,just want to know because i want smackdown vs raw 2010,Video & Online Games,Games & Recreation,http://answers.yahoo.com/question/index?qid=20091021011027AABD8pC,0
What does Sim not provisioned MM #2 mean for a cellphone?,Is that hotline 24/7?,Cell Phones & Plans,Consumer Electronics,http://answers.yahoo.com/question/index?qid=20091021214803AAom08t,0
Did you hear about my buddy Bill Fold?,"His nickname is ""Wallet""",Jokes & Riddles,Entertainment & Music,http://answers.yahoo.com/question/index?qid=20091022101654AAJjQ6q,1
What was the role of the Church and Papacy during the Early Middle Ages?,oh and how has it changed over the years?,History,Arts & Humanities,http://answers.yahoo.com/question/index?qid=20091023201234AAdpVzs,0
Do cinemas still update their listings on a Wednesday/Thursday in England?,"I was looking for something to go and see on Saturday late night, but currently both my local cinemas only have one film listed for Friday and Saturday night.  ; ;Do cinemas still update their listings on Wednesday/Thursday?",Other - United Kingdom,Travel,http://answers.yahoo.com/question/index?qid=20091027114055AAe2Tv4,0
"A weird, but good dream?","Also, incase you were wondering, as soon as I was awake enough to call my girlfriend, I called her and told her about the dream and we immediately made up.",Dream Interpretation,Social Science,http://answers.yahoo.com/question/index?qid=20091030155333AAcLG1S,1
What version of the Bible do you use and why?, ,Religion & Spirituality,Society & Culture,http://answers.yahoo.com/question/index?qid=20091102185647AAeq31z,1
What was it about the 1976 Flu vaccine that triggered Guillian-Barre Syndrome?  Has that flaw been corrected?, ,Infectious Diseases,Health,http://answers.yahoo.com/question/index?qid=20091112164021AAjhNpW,0
fighting with my boyfriend but scared to be alone.?, ,Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20091113041153AAjvd4m,1
how can i convince my mom?, ,Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20091114202242AA2EbcV,1
Forever21 pants fitting?, ,Fashion & Accessories,Beauty & Style,http://answers.yahoo.com/question/index?qid=20091115155651AAxAqZP,1
Taylor Lautner Vs. Ryan Reynolds?, ,Celebrities,Entertainment & Music,http://answers.yahoo.com/question/index?qid=20091122120303AAjstmR,1
My husband and i had unsafe sex  a night  prior to my period. i got my period the next day. is it still safe.?, ,Women's Health,Health,http://answers.yahoo.com/question/index?qid=20091201194137AAJXRDb,0
What's the cheapest and best radio scanner on the market?, ,Other - Electronics,Consumer Electronics,http://answers.yahoo.com/question/index?qid=20091203165450AArlA9V,0
What happens when someone takes too much Fiber in their body?, ,Diet & Fitness,Health,http://answers.yahoo.com/question/index?qid=20091212133101AAJnSPq,0
The pic messages I sent from my cell will not download. Is it a settings problem?, ,Attachments & Photos,Yahoo! Products,http://answers.yahoo.com/question/index?qid=20091213065847AAjDtLX,0
