,text,label
0,"Какова ваша позиция по поводу брачных абортов и смертной казни? & Брак ; - 1 мужчина + 1 женщина [ традиционный ] ; - 2 взрослых по обоюдному согласию [ однополый брак ] ; - 2 или более взрослых по обоюдному согласию [ полигамия ] ; ; Аборт ; - За жизнь ; - За выбор ; ; Смертная казнь ; - Хорошо ; - Плохо ; ; спорно, да...но мне просто любопытно =] спасибо, ххххх!",1
1,"Каково лучшее выступление боксера в каждой весовой категории или в любой другой весовой категории, которую вы выберете? & Каковы лучшие выступления боксеров за всю историю?",1
2,"Кто-нибудь может рассказать мне об этой книге ""ТАЙНА ПОДВОДНЫХ КРЫЛЬЕВ""? & не могли бы вы рассказать мне о взрыве в поместье Белл?",1
3,"Каков рН 0,05 молярного раствора HCl? &  ",0
4,Как увеличить грудь? &  ,0
5,"Я больше не могу терпеть свою надоедливую семью?!!? & Моя мама благоволит к моей старшей сестре, и мой папа тоже, и он также благоволит к моему 10-летнему надоедливому избалованному брату. Моя младшая сестра - вторая любимица моей мамы, и есть я, которую никто не любит, включая моих братьев и сестер. Итак, сегодня я только что поспорила со своей мамой о еде, потому что я ненавижу блюда, которые она велит готовить нашему личному шеф-повару, потому что мне никогда не хочется есть что-то вкусное. Итак, несколько дней назад мне пришлось умолять маму приготовить мне самому ужин из макарон, поэтому вместо этого она сказала приготовить для всех, что я и сделала, и, как ни странно, всем понравилось, кроме нее и моего папы, потому что они никогда не пробовали мою еду! Так что я разогрела на следующий день, и теперь она такая: да, ты всегда говоришь, что еда плохая, ты такой раздражающий, верно? а потом она продолжает и продолжает о том, какой я надоедливый человек, поэтому я решила выйти из ее комнаты вместо того, чтобы слушать это да, это глупо, но у меня действительно были дела поважнее, например, делать домашнее задание, поэтому она разозлилась и сказала, что расскажет моему отцу, когда он вернется с работы, что это как почти сейчас! что мне делать? ЛОЛ, теперь он здесь!!",1
6,"Реклама Sony Xperia Ion? & Какая песня играет на заднем плане? Я уже танцевал под нее однажды и не могу вспомнить, но их версия звучит как ремикс, кто-нибудь знает, пожалуйста?! ; ;http://www.youtube.com/watch?v=maJvFr1zIq8",0
7,"Нужно ли мне набирать вес, чтобы получить большие руки и огромный пресс? & Я худая, и у меня уже подтянутый пресс, но я хочу, чтобы мои руки, живот и талия были толще. Когда я наращиваю мышцы, это не делает меня толстым, это просто делает мой живот более рельефным или что-то в этом роде, но не шире.",0
8,что такое ошибка квантования? &  ,0
9,"Неужели вся эта чушь с blacklivesmatter превратилась в ""Спасите негров""?? & Я вижу белых людей в дредах и биркенштоках, играющих в джембе, когда они говорят о ""каждый год X количество черных людей ..."" ; ; Все это взаимозаменяемо с ралли PETA; что глубоко иронично, если вы знаете историю.",1
10,"Продолжительность жизни смешанной породы? & Недавно мы взяли из приюта 10-летнюю смесь голубого хилера, бордер-колли и австралийской овчарки.  Сейчас она очень здорова, так сколько еще ей осталось жить?",0
11,"не мог бы кто-нибудь быть настолько любезен, чтобы сообщить мне адрес вашей электронной почты, пожалуйста.? &  ",0
12,"Разве это странно, что меня привлекают хорошенькие женщины с маленькой грудью? & Мне нравятся девушки с красивыми лицами и сексуальными стройными (но не страдающими анорексией) телами.  Однако меня всегда отталкивали большие сиськи, и на самом деле я предпочитаю их поменьше (чашечки А-В).  Я думаю, может быть, потому, что у моей бывшей девушки, в которую я был влюблен, были чашки АА?  Кстати, я не имею в виду плоскогрудую.",1
13,"Каковы правила игры в ""вашей"" национальной команде? & Это так, вы должны родиться в этой стране, чтобы играть за их национальную сборную. Или, может быть, ваши родители родились в этой стране, чтобы вы играли за их национальную сборную? ; ;Я знаю Деко, Эубезио (кажется, так его зовут) родом из Бразилии, но играет за Португалию. Можете ли вы назвать других?",0
14,"Может ли несовершеннолетний посетить концерт старше 18 лет со взрослым? & Я бы с удовольствием сходил на концерт BASSNECTAR недалеко от того места, где я живу, и я зашел на сайт bassnectar, чтобы купить билеты, но там написано ""Минимальный возраст для участия в этом мероприятии - 18 лет"". Мне 17, и мне исполнится 18 только 14 ноября. Итак, если взрослый или родитель проводит меня до двери, смогу ли я все еще войти? Концерт состоится не в баре или где-то еще, а в этом зале в центре города...",0
15,фреон не будет циркулировать по системе? & фреон не будет циркулировать,0
16,Как называется меч Омара б. Аль-Хаттаба? &  ,0
17,"Какую прическу и цвет волос я должна выбрать? & Я крупная самка. У меня кожа светлого или среднего оттенка, а волосы почти касаются плеч. Я хочу только короткие прически, но не короткую стрижку пикси (я слишком похожа на мальчика). Мне было интересно, есть ли у кого-нибудь какие-нибудь идеи о том, какую прическу мне следует сделать и какого цвета она должна быть. Я не против делать обалденные цвета, просто не такие обалденные, как во всем синем или что-то в этом роде. Лол. Если вы могли бы найти какие-либо фотографии или еще что-нибудь, что могло бы помочь, пожалуйста, сделайте. Спасибо :) ; ; PS- Не надо здесь нести чушь о моем весе, последнее, что меня волнует, - это кто-то вроде этого, так что, если вы думаете, что это заставит меня чувствовать себя плохо, это не так. это бессмысленно :) ; ;Спасибо :)",1
18,"Как мне заставить мою клавиатуру снова работать? & У меня есть беспроводные клавиатура и мышь logitech, и моя мышь работает нормально, и моя клавиатура работает при загрузке, но я не могу ничего ввести, поэтому я не могу войти в свой компьютер. Я проверил батарейки и попробовал подключить его к разным разъемам USB, но это не работает.",0
19,"Совет о том, что мне сказать? & Я собираюсь сказать этой удивительно привлекательной девушке, что она мне нравится, но я не знаю, что сказать. Она честная, веселая, милая, спортивная и красивая. Как мне сказать ей? И я вижу ее только в спортзале и на тренировке с мягким мячом, так как же мне поговорить с ней наедине, чтобы рассказать ей?",1
20,"Как я должен закончить свое эссе ""все обо мне""? & Заранее спасибо! ; ;Достаточно просто краткого предложения ;)",1
21,"Могу ли я быть подписана как модель для подиума с размерами 34-29-34? & Мне 13; Я знаю, что мне нужно похудеть на талии (есть какие-нибудь советы по этому поводу?); Но мне 5-6 лет, и мне только что исполнилось 13; Как вы думаете, я все еще могла бы подписать контракт с хорошим агентством? ;Спасибо",0
22,что вы знаете о шиаа и истории шиаа? &  ,1
23,"Дамы, где бы вы больше всего хотели познакомиться с парнем? & Бары - это слишком банально; церковь слишком.... церковная; в клубах ты все время орешь.",1
24,"где я могу найти купальники для девочек в стиле peice pin up? & Как те, что были в 50-х годах. Там так мило, но я не могу найти их нигде, кроме этого pinupgirlclothing.com ; ;если вы знаете какие-нибудь другие, пожалуйста, скажите мне.",0
25,"Нужен совет, пожалуйста, помогите!? & Я страдаю от приступов паники /беспокойства. и когда я их получаю, мне становится так физически плохо, что меня сильно подташнивает, и обычно это заканчивается рвотой. Я получаю их ооочень часто сейчас, потому что переживаю большой личный стресс. моя мама думает, что причина, по которой меня так часто тошнит, в том, что у меня что-то не так с желудком. итак, она ведет меня к гастроэнтерологу (врачу по желудку). Проблема в том, что я знаю, что с моим желудком все в порядке. и это просто мое беспокойство. и я не могу поговорить об этом со своей мамой, потому что она вообще ничего не понимает. на самом деле она злится на меня всякий раз, когда я болею, и мы вообще недолго общаемся. даже несмотря на то, что мне 18. Я не могу пойти поговорить с психологом или что-то в этом роде, потому что у меня страховка моих родителей, и они бы узнали. есть какие-нибудь предложения о том, что я могу сделать?",0
26,"Покрытие овердрафта по дебетовой карте Chase что оно будет покрывать? & Пытаюсь выяснить, стоит ли соглашаться на это в чрезвычайных ситуациях. У нас есть прямой депозит, но иногда возникают чрезвычайные ситуации (непредвиденные медицинские расходы, проблемы с транспортным средством, экстренная поездка). Есть какие-нибудь идеи, сколько это покроет? Они довольно расплывчато представляют, как это работает, даже по телефону.",0
27,"Это странно..............?|? & Лол, когда я когда-либо хожу, мое колено / лодыжка трещит, как будто ты хрустишь своим суставом!! и когда я не открываю его, это похоже на давление!! это ненормально... ритеее??",1
28,"Идеи подарков для моего парня? & Что ж, прошлой ночью это был выпускной вечер для футболистов.  И я ему ничего не подарила! ): он получил цветы только от своего тренера, но я тоже хотела подарить ему цветы... в понедельник. Но... У меня нет денег. Грустное лицо... Снова): И все, что он сказал мне, это то, что это нормально, что ты ничего мне не подарил... ты можешь приготовить или купить мне что-нибудь в понедельник. ; ;ЧТО я ДОЛЖЕН ПРИГОТОВИТЬ? Лол, я подумывал о том, чтобы написать песню и поиграть на гавайской гитаре. Но это так слащаво.. Но это было бы мило c: ; ; Я бы действительно хотел увидеть ВАШИ идеи.",1
29,"Какой твой любимый трек с микстейпа Messiah 4? & Альбом, кстати, был отвратительный... ; ;Моя любимая песня с него - ""Internet Nerds Revenge"". ;Это забавно и правдиво. ; ;http://www.youtube.com/watch?v=LI_pTPpd0Q8 ; ;Что тебе больше всего нравится из этого?",1
