,text,joint_labels
0,как насчет еще одной короткой части футбольных новостей : ПУСТО > как вы можете выбрать нас прямо сейчас,open_question_factual
1,хотите вместо этого услышать несколько забавных фактов о кошках : ПУСТО > да,pos_answer;command
2,"знаете ли вы, что : да > я сделал",pos_answer
3,за какую команду вы болеете в m l b : ПУСТО > индейцы,opinion
4,вы говорите о конкретном фильме : не очень хорошо > и да,pos_answer
5,"давайте посмотрим, знаю ли я это : ПУСТО > я читаю wicked",statement
6,"я думаю, что идея одиночного путешествия одновременно захватывающая и пугающая : ПУСТО > да",back-channeling
7,расскажи мне об этом подробнее : это действительно весело > тебе стоит приехать и попутешествовать,opinion
8,какой жанр музыки вам нравится : EMPTY > does the door dad,yes_no_question
9,о чем бы вы хотели поговорить : ПУСТО > рецепты чили,command;statement
10,кто ваш любимый автор : ПУСТО > Рэйчел Рене Рассел,opinion
11,разве это не интересно : ПУСТО > да,pos_answer
12,интересно : да > это интересно,appreciation
13,кто ваша любимая знаменитость : ПУСТО > нет,other_answers
14,"у меня никогда не было домашних животных, но мне всегда было интересно, каково это - иметь их : ПУСТО > у меня есть кошка",statement
15,отличное имя для собаки : хорошо > так что спасибо,thanking
16,ты так не думаешь : я определенно согласен > какой твой любимый фильм,open_question_opinion
17,я не думал об этом раньше : ежедневно > что такое лобстер,open_question_factual
18,"мне нравится, как она пишет и поет свои песни о своих бывших парнях : о > это забавно",appreciation
19,вы боитесь каких-либо животных : ПУСТО > хорошо,hold
20,"есть ли что-то еще, о чем вы хотели бы поболтать: ПУСТО > стоп",closing
21,читали ли вы в последнее время какие-нибудь хорошие книги : ПУСТО > да,pos_answer
22,"ты все еще хочешь продолжить наш разговор о фильмах : да > я говорил, что ты был прав, искупление в Шоушенке еще",statement
23,можете ли вы рассказать мне об этом подробнее : ПУСТО > да,pos_answer
24,вы хотите сказать мне свое имя : ПУСТО > меня зовут Ричард,statement
25,"кажется, я ослышался : ПУСТО > мне нравится черная пантера",opinion
26,я не совсем помню : о > хорошо,back-channeling
27,"давайте посмотрим, знаю ли я это: я рекомендую Шрека > это отвратительный, но забавный фильм",comment
28,"есть ли что-то еще, о чем вы хотели бы поговорить: ПУСТО > мне нужно идти",statement
29,"может быть, я это знаю : ПУСТО > моана",opinion
30,просто скажите стоп : ПУСТО > стоп,closing
31,мне жаль Леброна : ПУСТО > круто,appreciation
32,"вы когда-нибудь надеялись, что есть какая-то способность, которую вы еще не открыли, в которой вы просто от природы великолепны : ПУСТО > да",pos_answer
33,кто твоя любимая знаменитость : ПУСТО > Ким возможный смех,opinion
34,что вы думаете: что это была самая смешная реплика > это было весело,comment
35,какой фильм вам нравится : ПУСТО > какой ваш любимый фильм с рейтингом r.,open_question_opinion
36,"""фильм 2017 года """"Судьба форсажа"""" с Домиником Торетто в исполнении вина Дизеля : ПУСТО > нет""",neg_answer
37,как тебя зовут : ПУСТО > идет дождь,statement
38,разве это не интересно : ПУСТО > да,pos_answer
39,весело : ПУСТО > весело,opinion
