en,ru
You know  that's something I miss quite a bit.,"Ты знаешь, это то, чего мне очень не хватает."
So.,Так.
"Yeah,","Да,"
"uh, when I was in Colorado we went deer and elk hunting you, you know, quite a bit","э-э, когда я был в Колорадо, мы охотились на оленей и лосей, знаешь, довольно часто"
Yeah.,Да.
"but,","но,"
Yeah.,Да.
All right.,Все в порядке.
"Yeah,","Да,"
"my brother was, uh, a guide for bear and elk hunts out in Idaho for a while and, uh, really enjoyed it quite a bit,","мой брат некоторое время был гидом на охоте на медведей и лосей в Айдахо, и ему это очень понравилось,"
but I don't know.,но я не знаю.
"I guess that what the scale now is, it's zero for, uh, for a complete,","Я предполагаю, что сейчас шкала равна нулю для, э-э, для полного,"
"One for a total ban and, uh,","Один для полного запрета и, э-э,"
That's right.,Верно.
I guess I am about eight or nine,"Я думаю, мне около восьми или девяти"
"Yeah,","Да,"
"I, I agree with you there","Я, я согласен с вами в этом"
"Yeah,","Да,"
no doubt about it,никаких сомнений по этому поводу
"but, uh,","но, э-э,"
"I mean, if they can anyway get it, keep criminals from having guns which they can't","Я имею в виду, если они все равно смогут это получить, не дайте преступникам иметь оружие, которого они не могут"
Yeah.,Да.
"I, you know, I'm not  for it.","Я, ты знаешь, я не за это."
"Yeah,","Да,"
"if there's  if there's a way, you know, to limited it to people that, I don't know that","если есть, если есть способ, вы знаете, ограничить это людьми, которые, я не знаю, что"
"they, I guess they passed a couple of, uh, uh, laws a here while back in some states in terms of a waiting period where you know you go to buy a hand gun","они, я думаю, они приняли пару, э-э-э, законов некоторое время назад в некоторых штатах с точки зрения периода ожидания, когда вы знаете, что идете покупать ручной пистолет"
Uh-huh.,Угу.
"and then they actually, uh,","а потом они на самом деле, э-э,"
I know it's this way in Florida.,"Я знаю, что во Флориде так принято."
They have a waiting period where you buy one,"У них есть период ожидания, когда вы его покупаете"
and that's a week,и это за неделю
Uh-huh.,Угу.
and then they check you out and make sure you don't have a record you know and things like that.,"а потом они проверяют вас и убеждаются, что у вас нет записей, которые вы знаете, и тому подобного."
I think that's a pretty good idea.,"Я думаю, что это довольно хорошая идея."
"Uh, and that's,","Э-э, и это,"
"I don't know,","Я не знаю,"
"that's not a bad idea,","это неплохая идея,"
but then again you can always get around that.,"но опять же, вы всегда можете обойти это."
You could go through the black market like you say.,"Вы могли бы пройти через черный рынок, как вы говорите."
"You know, you always be able to get around","Ты знаешь, ты всегда сможешь обойти"
"but, uh,","но, э-э,"
Sure.,Конечно.
"Yeah,","Да,"
it's one of things,это одна из вещей
"but, uh, I don't know.","но, э-э, я не знаю."
"I guess, I guess some forms of guns should probably be controlled just like I'm not real sure why anybody would need a full automatic weapon.","Я предполагаю, я предполагаю, что некоторые виды оружия, вероятно, должны контролироваться точно так же, как я не совсем уверен, зачем кому-то может понадобиться полностью автоматическое оружие."
"Yeah,","Да,"
I don't either,Я тоже этого не делаю
"Yeah,","Да,"
"I'm just not,","Я просто не,"
"I think those have been pretty much, you know, banned altogether anyway.","Я думаю, что в любом случае они были в значительной степени, вы знаете, полностью запрещены."
"Yeah,","Да,"
I,Я
"There,","Там,"
"fully auto,","полностью автоматический,"
"but, even well, I mean, a semiautomatic, I guess that's,","но, даже ну, я имею в виду, полуавтоматический, я думаю, это,"
It kind of takes the sport out of hunting,Это как бы выводит спорт из охоты
Yeah.,Да.
Right.,Верно.
"You know, it's like what can you do with that, that you can't do in a self protection situation with like a seven or a twenty shot twelve.","Вы знаете, это похоже на то, что вы можете с этим сделать, чего вы не можете сделать в ситуации самозащиты, например, с семью или двадцатью выстрелами из двенадцати."
Sure.,Конечно.
"You know, you might do the same thing.","Знаешь, ты мог бы сделать то же самое."
Right.,Верно.
"And so it's like, I don't know. It does.","И поэтому это похоже на то, что я не знаю. Оно делает."
It takes the sport out of it.,Это лишает его спортивного азарта.
For me I would much rather have a bow anytime,"Что касается меня, то я бы предпочел иметь лук в любое время"
"Oh, really.","О, правда."
"I, I like bows.","Я, мне нравятся бантики."
"You know, I have done some bow hunting","Вы знаете, я немного поохотился с луком"
"and I, uh, I get into it","и я, э-э, я вхожу в это"
"and I think it's more of a challenge, you know.","и я думаю, что это скорее вызов, вы знаете."
Yeah.,Да.
"But, uh, I don't know.","Но, э-э, я не знаю."
I guess it keeps the shell makers in business.,"Я предполагаю, что это удерживает производителей раковин в бизнесе."
Sure.,Конечно.
"But, uh, I don't know.","Но, э-э, я не знаю."
"Anyway, that's about where I stand","Во всяком случае, примерно таково мое положение"
Me too.,Я тоже.
"You, uh,","Ты, э-э,"
"Yeah,","Да,"
I am about the same way.,Я примерно такой же.
"And you, uh, have you eaten yet or whatever.","А ты, э-э, ты уже поел или что-то в этом роде."
Yeah.,Да.
Is it seven o'clock there?,Там сейчас семь часов?
"Uh, yeah,","О, да,"
it's about seven fifteen.,сейчас около семи пятнадцати.
You guys central?,"Вы, ребята, из центра?"
How is the weather up there?,Как там погода наверху?
"Oh, it's not too good.","О, это не слишком хорошо."
It's kind of rainy actually.,На самом деле немного дождливо.
Is it?,Так ли это?
"Around this time of year you expect it up here to get down to about, uh, I don't know, ten or twenty degrees","Примерно в это время года вы ожидаете, что температура здесь опустится примерно, э-э, я не знаю, до десяти или двадцати градусов"
Right.,Верно.
and it's been up around forty.,и это было около сорока.
"So people are, people are whining about the rain and stuff, but not too bad about the temperature.","Итак, люди, люди жалуются на дождь и все такое, но не слишком жалуются на температуру."
Ice is starting to melt and stuff like that,Лед начинает таять и все такое
so.,так.
Yeah.,Да.
I am just up here for the year,Я здесь всего на год
and it's kind of shocking.,и это в некотором роде шокирует.
"Wendy, I guess we get to talk about budgets tonight or lack of budgets if, uh, if that may be the case and any kind of long term financial planning or anything like that, uh,","Венди, я полагаю, сегодня вечером мы поговорим о бюджетах или их отсутствии, если, э-э, если это возможно, и о любом долгосрочном финансовом планировании или о чем-то подобном, э-э,"
Right.,Верно.
"let me ask you the question,","позвольте мне задать вам вопрос,"
