,en,ru
0,i.e gemini ;positive- adaptable ;negative- cunning,то есть близнецы; положительный - способный к адаптации; отрицательный - хитрый
1, , 
2,"Ladies, what type of strain or bud do you like to smoke the most? ;If I were to bust out a huge sac of superdank, (ie: train wreck, super grape ape, super lemon haze) what strain or type would attract you the most, or would you want to smoke more than other types. ;Don't lie and say that it dosn't attract you. If you smoke it, it does. If you're going to preach, don't answer.","Дамы, какой сорт или бутон вам нравится курить больше всего? ; Если бы я достал огромный пакет superdank (например: train wreck, super grape ape, super lemon haze), какой сорт привлек бы вас больше всего, или вы хотели бы курить больше других сортов. ; Не лги и не говори, что это тебя не привлекает. Если вы курите это, то так оно и есть. Если вы собираетесь проповедовать, не отвечайте."
3,just want to know because i want smackdown vs raw 2010,"просто хочу знать, потому что я хочу smackdown vs raw 2010"
4,Is that hotline 24/7?,Это горячая линия 24/7?
5,"His nickname is ""Wallet""","Его прозвище - ""Бумажник""."
6,oh and how has it changed over the years?,"о, и как это изменилось за эти годы?"
7,"I was looking for something to go and see on Saturday late night, but currently both my local cinemas only have one film listed for Friday and Saturday night.  ; ;Do cinemas still update their listings on Wednesday/Thursday?","Я искал, куда пойти и что посмотреть в субботу поздно вечером, но в настоящее время в обоих моих местных кинотеатрах на вечер пятницы и субботы указан только один фильм.  ; ;Кинотеатры по-прежнему обновляют свои списки в среду/четверг?"
8,"Also, incase you were wondering, as soon as I was awake enough to call my girlfriend, I called her and told her about the dream and we immediately made up.","Кроме того, если вам было интересно, как только я достаточно проснулся, чтобы позвонить своей девушке, я позвонил ей и рассказал о сне, и мы сразу же помирились."
9, , 
10, , 
11, , 
12, , 
13, , 
14, , 
15, , 
16, , 
17, , 
18, , 
19, , 
20, , 
21, , 
22, , 
23, , 
24, , 
25, , 
26,ok i really wanna learn how to back flip but i need someone to spot me. Does the person that's spotting me have to be taller or can they be the same height as me?,"ладно, я действительно хочу научиться делать сальто назад, но мне нужно, чтобы кто-нибудь заметил меня. Должен ли человек, который замечает меня, быть выше или он может быть одного роста со мной?"
27,"Pick your favorite name! Neither is not an answer, and no mixing and matching please! Winner will go to round 6. ; ;I've seen these a lot lately so I though I would do one! ; ;Reagan is said ray-gin. ; ;* I'm posting this again because it didnt get many answers last time.","Выбери свое любимое имя! Ни то, ни другое не является ответом, и, пожалуйста, никаких смешиваний и сопоставлений! Победитель пройдет в 6-й раунд. ; ; Я видел их много в последнее время, так что я подумал, что сделал бы один! ; ; Рейган - это Саид Рэй-джин. ; ;* Я публикую это снова, потому что в прошлый раз на это было не так много ответов."
28, , 
29,IS it because Mars is moving so we would have to be chasing it???,"Это потому, что Марс движется, и нам пришлось бы гоняться за ним???"
30,"The evangelical Christian preacher says the secular holy trinity of money, ambition, and achievement is the root of all evil: ; ;http://nymag.com/news/features/62374/ ; ;*smirk* ; ;This is my last question for today. I almost died laughing when I read the article. Oh, and he even derives his theology from Old Testament (read: Jewish) scripture :)","Евангельский христианский проповедник говорит, что светская святая троица денег, амбиций и достижений является корнем всего зла: ; ;http://nymag.com/news/features/62374 / ; ;*ухмылка* ; ;Это мой последний вопрос на сегодня. Я чуть не умер со смеху, когда прочитал эту статью. О, и он даже черпает свою теологию из ветхозаветных (читай: еврейских) писаний :)"
31, , 
32,"Is it any age difference or a certain amount of age difference that matters?  I'm in my late twenties and sometimes still find guys who are 1-5 years younger to be interesting.  They often flirt with me, but I am also told that I look 21-22.  Would a guy who is initially attracted lose interest once he finds out my age just because I'm older?","Имеет ли значение какая-либо разница в возрасте или определенная величина разницы в возрасте?  Мне под тридцать, и иногда я все еще нахожу интересными парней, которые на 1-5 лет моложе.  Они часто флиртуют со мной, но мне также говорят, что я выгляжу на 21-22.  Неужели парень, который изначально привлекателен, потеряет интерес, как только узнает мой возраст, только потому, что я старше?"
33,i think i know what your saying second answer. thanx i was thinking too small ill try to think of a bigger answer thanks so much u gave me an idea!,"я думаю, я знаю, о чем вы говорите, второй ответ. спасибо, я думал слишком о малом, я попытаюсь придумать более масштабный ответ, большое спасибо, что вы подали мне идею!"
