,Title,Description,Category,Top,URL,Label
0,кто может дополнить каждый звездный знак одним положительным или одним отрицательным типичным стереотипом?,то есть близнецы; положительный - способный к адаптации; отрицательный - хитрый,Horoscopes,Entertainment & Music,http://answers.yahoo.com/question/index?qid=20090929041342AAZFhAp,1
1,"Собираются ли болельщики ""Бульдогс"" отпраздновать переход Барри Холла бокалом пунша?", ,Australian Rules,Sports,http://answers.yahoo.com/question/index?qid=20091005163805AAvST9b,1
2,"Дамы, какой сорт или разновидность бутона вам нравится курить больше всего?","Дамы, какой сорт или бутон вам нравится курить больше всего? ; Если бы я достал огромный пакет superdank (например: train wreck, super grape ape, super lemon haze), какой сорт привлек бы вас больше всего, или вы хотели бы курить больше других сортов. ; Не лги и не говори, что это тебя не привлекает. Если вы курите это, то так оно и есть. Если вы собираетесь проповедовать, не отвечайте.",Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20091007202920AAbnhyc,1
3,Сколько времени требуется для загрузки ПЗУ nds в Интернет?,"просто хочу знать, потому что я хочу smackdown vs raw 2010",Video & Online Games,Games & Recreation,http://answers.yahoo.com/question/index?qid=20091021011027AABD8pC,0
4,Что означает неподготовленная SIM-карта MM #2 для мобильного телефона?,Это горячая линия 24/7?,Cell Phones & Plans,Consumer Electronics,http://answers.yahoo.com/question/index?qid=20091021214803AAom08t,0
5,Ты слышал о моем приятеле Билле Фолде?,"Его прозвище - ""Бумажник"".",Jokes & Riddles,Entertainment & Music,http://answers.yahoo.com/question/index?qid=20091022101654AAJjQ6q,1
6,Какова была роль Церкви и папства в раннем Средневековье?,"о, и как это изменилось за эти годы?",History,Arts & Humanities,http://answers.yahoo.com/question/index?qid=20091023201234AAdpVzs,0
7,Кинотеатры в Англии по-прежнему обновляют свои объявления по средам/четвергам?,"Я искал, куда пойти и что посмотреть в субботу поздно вечером, но в настоящее время в обоих моих местных кинотеатрах на вечер пятницы и субботы указан только один фильм.  ; ;Кинотеатры по-прежнему обновляют свои списки в среду/четверг?",Other - United Kingdom,Travel,http://answers.yahoo.com/question/index?qid=20091027114055AAe2Tv4,0
8,"Странный, но хороший сон?","Кроме того, если вам было интересно, как только я достаточно проснулся, чтобы позвонить своей девушке, я позвонил ей и рассказал о сне, и мы сразу же помирились.",Dream Interpretation,Social Science,http://answers.yahoo.com/question/index?qid=20091030155333AAcLG1S,1
9,Какую версию Библии вы используете и почему?, ,Religion & Spirituality,Society & Culture,http://answers.yahoo.com/question/index?qid=20091102185647AAeq31z,1
10,"Что такого было в вакцине против гриппа 1976 года, которая вызвала синдром Гийана-Барре?  Был ли исправлен этот недостаток?", ,Infectious Diseases,Health,http://answers.yahoo.com/question/index?qid=20091112164021AAjhNpW,0
11,"ссорюсь со своим парнем, но боюсь оставаться одна.?", ,Singles & Dating,Family & Relationships,http://answers.yahoo.com/question/index?qid=20091113041153AAjvd4m,1
