,en,ru
0,how about another short piece of football news : EMPTY > how can you pick us knows now,как насчет еще одной короткой части футбольных новостей : ПУСТО > как вы можете выбрать нас прямо сейчас
1,do you want to hear some fun facts about cats instead : EMPTY > yes,хотите вместо этого услышать несколько забавных фактов о кошках : ПУСТО > да
2,did you know that : yes > i did,"знаете ли вы, что : да > я сделал"
3,what is the team that you are rooting for in m l b : EMPTY > indians,за какую команду вы болеете в m l b : ПУСТО > индейцы
4,are you talking about a specific movie : not good > and yes,вы говорите о конкретном фильме : не очень хорошо > и да
5,let's see if i know it : EMPTY > i'm reading wicked,"давайте посмотрим, знаю ли я это : ПУСТО > я читаю wicked"
6,i think that the idea of solo travel is both exciting and scary : EMPTY > yes,"я думаю, что идея одиночного путешествия одновременно захватывающая и пугающая : ПУСТО > да"
7,tell me more about it : it's really fun > you should come and travel,расскажи мне об этом подробнее : это действительно весело > тебе стоит приехать и попутешествовать
8,what genre of music are you into : EMPTY > does the door dad,какой жанр музыки вам нравится : EMPTY > does the door dad
9,what would you like to talk about : EMPTY > recipes for chili,о чем бы вы хотели поговорить : ПУСТО > рецепты чили
10,who's your favorite author : EMPTY > rachel renee russell,кто ваш любимый автор : ПУСТО > Рэйчел Рене Рассел
11,isn't that interesting : EMPTY > yes,разве это не интересно : ПУСТО > да
12,interesting : yeah > it's interesting,интересно : да > это интересно
13,who is your celebrity crush : EMPTY > no,кто ваша любимая знаменитость : ПУСТО > нет
14,i never had pets but i have always wondered what it feels like to have one : EMPTY > i have a cat,"у меня никогда не было домашних животных, но мне всегда было интересно, каково это - иметь их : ПУСТО > у меня есть кошка"
15,that's a great name for a dog : okay > so thanks,отличное имя для собаки : хорошо > так что спасибо
16,don't you think so : i definitely agree > what's your favorite movie,ты так не думаешь : я определенно согласен > какой твой любимый фильм
17,i haven't thought about that before : daily > what's lobster,я не думал об этом раньше : ежедневно > что такое лобстер
18,i love the way she writes and sings her songs about her ex-boyfriends : oh > that's funny,"мне нравится, как она пишет и поет свои песни о своих бывших парнях : о > это забавно"
19,are you scared of any animals : EMPTY > well,вы боитесь каких-либо животных : ПУСТО > хорошо
20,is there something else you'd like to chat about : EMPTY > stop,"есть ли что-то еще, о чем вы хотели бы поболтать: ПУСТО > стоп"
21,have you read any good books recently : EMPTY > yes,читали ли вы в последнее время какие-нибудь хорошие книги : ПУСТО > да
22,do you still want to continue our conversation about movies : yeah > i was saying that you were correct shawshank redemption yet,"ты все еще хочешь продолжить наш разговор о фильмах : да > я говорил, что ты был прав, искупление в Шоушенке еще"
23,can you tell me more about it : EMPTY > yes,можете ли вы рассказать мне об этом подробнее : ПУСТО > да
24,do you want to tell me your name : EMPTY > my name's richard,вы хотите сказать мне свое имя : ПУСТО > меня зовут Ричард
25,i think i heard wrong : EMPTY > i like black panther,"кажется, я ослышался : ПУСТО > мне нравится черная пантера"
26,i don't quite remember : oh > okay,я не совсем помню : о > хорошо
27,let's see if i know it : i recommend shrek > it's a gross but funny movie,"давайте посмотрим, знаю ли я это: я рекомендую Шрека > это отвратительный, но забавный фильм"
28,is there something else you'd like to talk about : EMPTY > i have to go,"есть ли что-то еще, о чем вы хотели бы поговорить: ПУСТО > мне нужно идти"
29,maybe i know it : EMPTY > moana,"может быть, я это знаю : ПУСТО > моана"
30,just say stop : EMPTY > stop,просто скажите стоп : ПУСТО > стоп
31,i feel sorry for lebron : EMPTY > cool,мне жаль Леброна : ПУСТО > круто
32,have you ever hoped that there was some ability you hadn't discovered yet that you were just naturally great at : EMPTY > yes,"вы когда-нибудь надеялись, что есть какая-то способность, которую вы еще не открыли, в которой вы просто от природы великолепны : ПУСТО > да"
33,who is your celebrity crush : EMPTY > kim possible laugh,кто твоя любимая знаменитость : ПУСТО > Ким возможный смех
34,what do you think : that it was the most funny line > it was hilarious,что вы думаете: что это была самая смешная реплика > это было весело
35,what movie do you like : EMPTY > what's your favorite rated r. movie,какой фильм вам нравится : ПУСТО > какой ваш любимый фильм с рейтингом r.
36,the 2017 film the fate of the furious with dominic toretto played by vin diesel : EMPTY > no,"фильм 2017 года ""Судьба форсажа"" с Домиником Торетто в исполнении вина Дизеля : ПУСТО > нет"
37,what's your name : EMPTY > raining,как тебя зовут : ПУСТО > идет дождь
