en,ru
who can some up each starsign with one positive one negative typical stereotype?,кто может дополнить каждый звездный знак одним положительным или одним отрицательным типичным стереотипом?
Are Bulldogs supporters going to  celebrate Barry Hall's move with  a glass of punch?,"Собираются ли болельщики ""Бульдогс"" отпраздновать переход Барри Холла бокалом пунша?"
"Ladies, what strain or type of bud do you like to smoke the most?","Дамы, какой сорт или разновидность бутона вам нравится курить больше всего?"
How long does it take for an nds rom to upload onto the internet?,Сколько времени требуется для загрузки ПЗУ nds в Интернет?
What does Sim not provisioned MM #2 mean for a cellphone?,Что означает неподготовленная SIM-карта MM #2 для мобильного телефона?
Did you hear about my buddy Bill Fold?,Ты слышал о моем приятеле Билле Фолде?
What was the role of the Church and Papacy during the Early Middle Ages?,Какова была роль Церкви и папства в раннем Средневековье?
Do cinemas still update their listings on a Wednesday/Thursday in England?,Кинотеатры в Англии по-прежнему обновляют свои объявления по средам/четвергам?
"A weird, but good dream?","Странный, но хороший сон?"
What version of the Bible do you use and why?,Какую версию Библии вы используете и почему?
What was it about the 1976 Flu vaccine that triggered Guillian-Barre Syndrome?  Has that flaw been corrected?,"Что такого было в вакцине против гриппа 1976 года, которая вызвала синдром Гийана-Барре?  Был ли исправлен этот недостаток?"
fighting with my boyfriend but scared to be alone.?,"ссорюсь со своим парнем, но боюсь оставаться одна.?"
how can i convince my mom?,как я могу убедить свою маму?
Forever21 pants fitting?,Брюки Forever21 подходят по размеру?
Taylor Lautner Vs. Ryan Reynolds?,Тейлор Лотнер Против. Райан Рейнольдс?
My husband and i had unsafe sex  a night  prior to my period. i got my period the next day. is it still safe.?,У нас с мужем был небезопасный секс за ночь до моих месячных. на следующий день у меня начались месячные. это все еще безопасно.?
What's the cheapest and best radio scanner on the market?,Какой самый дешевый и лучший радиосканер на рынке?
What happens when someone takes too much Fiber in their body?,"Что происходит, когда кто-то потребляет слишком много клетчатки в своем организме?"
The pic messages I sent from my cell will not download. Is it a settings problem?,"Текстовые сообщения, которые я отправил со своего мобильного, загружаться не будут. Это проблема с настройками?"
was malcolm x considered at a civil rights leader? why?,рассматривался ли Малкольм Икс в качестве лидера движения за гражданские права? почему?
This guy just asked me out but he just broke up with my best friend:S?,"Этот парень только что пригласил меня на свидание, но он только что расстался с моей лучшей подругой: С?"
Why K2O2 is possible and KO is not in terms of atomic structure? (10 points)?,"Почему K2O2 возможен, а KO - нет с точки зрения атомной структуры? (10 баллов)?"
